epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,4678.56,1.07301,0.76097,1.24485,0.83442,0.62136,0.72537,0.47951,0.98116,1.13198,1.08939,0.001802,0.001802,0.001802
62,4752.34,1.05393,0.74613,1.24846,0.774,0.87671,0.86141,0.53969,0.98425,1.13005,1.0275,0.0017987,0.0017987,0.0017987
63,4827.4,1.11159,0.77247,1.27269,0.77332,0.84932,0.81549,0.49992,0.96924,1.58851,1.00812,0.0017954,0.0017954,0.0017954
64,4902.18,1.06857,0.74263,1.25899,0.86949,0.8214,0.83883,0.5724,0.90302,0.96474,0.9888,0.0017921,0.0017921,0.0017921
65,4976.38,1.05216,0.74685,1.23257,0.74491,0.64384,0.69244,0.45048,0.93869,1.22492,1.02072,0.0017888,0.0017888,0.0017888
66,5050.5,1.06225,0.72932,1.24697,0.91653,0.60168,0.72498,0.50731,0.91067,2.15694,1.00163,0.0017855,0.0017855,0.0017855
67,5124.78,1.01781,0.71613,1.20703,0.66938,0.72114,0.72216,0.4916,0.92537,2.70111,1.04291,0.0017822,0.0017822,0.0017822
68,5199.03,1.05845,0.73986,1.22602,0.85426,0.73973,0.76214,0.51683,0.85665,1.27255,0.94636,0.0017789,0.0017789,0.0017789
69,5273.28,1.05338,0.74413,1.22748,0.78119,0.71233,0.76546,0.50597,0.90036,1.21715,0.95741,0.0017756,0.0017756,0.0017756
70,5347.23,1.05896,0.74088,1.2313,0.6721,0.47945,0.57896,0.3714,1.07268,1.67265,1.04122,0.0017723,0.0017723,0.0017723
71,5421.31,1.02712,0.71427,1.21187,0.73313,0.75342,0.79728,0.56657,0.79096,1.18479,0.88458,0.001769,0.001769,0.001769
72,5495.52,1.03546,0.73154,1.22759,0.76873,0.40982,0.55274,0.34407,1.07961,1.49725,1.12943,0.0017657,0.0017657,0.0017657
